Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3107198,HIV_0000000007,COUNTRY,TJK,YEAR,EUR,Europe,,,2014,,,,,,,170,170.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3158720,HIV_0000000007,COUNTRY,MDA,YEAR,EUR,Europe,,,2014,,,,,,, 1 157,1157.0,,,,2016-03-21T10:38:46+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3186575,HIV_0000000007,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,102,102.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3236533,HIV_0000000007,COUNTRY,JAM,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3427725,HIV_0000000007,COUNTRY,PHL,YEAR,WPR,Western Pacific,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3456387,HIV_0000000007,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,, 1 017,1017.0,,,,2016-03-21T10:38:45+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3488119,HIV_0000000007,COUNTRY,VUT,YEAR,WPR,Western Pacific,,,2014,,,,,,,17,17.0,,,,2016-03-21T10:38:38+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3522295,HIV_0000000007,COUNTRY,NER,YEAR,AFR,Africa,,,2014,,,,,,, 1 229,1229.0,,,,2016-03-21T10:38:46+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3525750,HIV_0000000007,COUNTRY,GHA,YEAR,AFR,Africa,,,2014,,,,,,, 1 656,1656.0,,,,2016-03-21T10:38:47+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3677218,HIV_0000000007,COUNTRY,THA,YEAR,SEAR,South-East Asia,,,2014,,,,,,, 1 480,1480.0,,,,2016-03-21T10:38:47+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
