Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8458722,HIV_0000000008,COUNTRY,GHA,AFR,YEAR,Africa,,,2014,,,,,,,10,10.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4413402,HIV_0000000008,COUNTRY,NIC,AMR,YEAR,Americas,,,2014,,,,,,,29,29.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7504183,HIV_0000000008,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9340710,HIV_0000000008,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2014,,,,,,,38,38.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1225695,HIV_0000000008,COUNTRY,COL,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3030511,HIV_0000000008,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8121337,HIV_0000000008,COUNTRY,SLV,AMR,YEAR,Americas,,,2014,,,,,,,18,18.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5961895,HIV_0000000008,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6710980,HIV_0000000008,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5909607,HIV_0000000008,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,6,6.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
